sitc_product_name_short_en,market_percent
"Flours and meals, of meat, fish,etc, unfit for human; greaves",0.22651345745720927
Copper ore and concentrates; copper matte; cement copper,0.20782071532053528
Fat and oils of fish and marine mammals,0.19105707081927434
Lead ores and concentrates,0.17618031649998128
Zinc ores and concentrates,0.16064109875688673
"Sheep's or lambs' wool, or of other animal hair, carded or combed",0.13302753522722832
"Tin and tin alloys, unwrought",0.10115601173955945
"Natural calcium phosphates, natural aluminium, etc",0.09930001954300574
"Grapes, fresh or dried",0.09395493356403264
"Buckwheat, millet, etc, and other cereals, unmilled, nes",0.07137552192734023
