sitc_product_name_short_en,pci
Cellulose acetates,2.205075
"Photographic and cinematographic apparatus and equipment, nes",2.1980767000000005
Epoxide resins,2.0087276000000003
"Photographic film, plates and paper (other than cinematograph film)",1.8980389
Silicones,1.8714914
"Interchangeable tools for hand or machine tools (tips, blades, etc)",1.8707979
Ion exchangers of the polymerization or copolymerization type,1.8221087
Salts of metallic acids; compounds of precious metals,1.8111838
"Machinery for specialized industries and parts thereof, nes",1.7811726000000003
"Inorganic esters, their salts and derivatives",1.7733696
