sitc_product_name_short_en,export_value
Copper ore and concentrates; copper matte; cement copper,17294974976
"Gold, non-monetary (excluding gold ores and concentrates)",7731720192
"Fruit, fresh or dried, nes",3198043648
"Iron ore and concentrates, not agglomerated",2850110208
"Copper and copper alloys, refined or not, unwrought",2361251072
Zinc ores and concentrates,2118825984
"Flours and meals, of meat, fish,etc, unfit for human; greaves",1873708800
"Petroleum products, refined",1566960512
"Petroleum gases and other gaseous hydrocarbons, nes, liquefied",1531147392
"Ores and concentrates of precious metals, waste, scrap",1398012032
